Département,Commune
Alpes-Maritimes,Nice
Alpes-Maritimes,Cannes
Alpes-Maritimes,Antibes
Alpes-Maritimes,Grasse
Alpes-Maritimes,Cagnes-sur-Mer
Alpes-Maritimes,Menton
Alpes-Maritimes,Saint-Laurent-du-Var
Alpes-Maritimes,Vallauris
Alpes-Maritimes,Mougins
Alpes-Maritimes,Vence
Haute-Garonne,Toulouse
Haute-Garonne,Colomiers
Haute-Garonne,Tournefeuille
Haute-Garonne,Muret
Haute-Garonne,Blagnac
Haute-Garonne,Plaisance-du-Touch
Haute-Garonne,Cugnaux
Haute-Garonne,Balma
Haute-Garonne,Ramonville-Saint-Agne
Haute-Garonne,Saint-Orens-de-Gameville
Nord,Lille
Nord,Roubaix
Nord,Tourcoing
Nord,Dunkerque
Nord,Villeneuve-d'Ascq
Nord,Valenciennes
Nord,Douai
Nord,Wattrelos
Nord,Maubeuge
Nord,Cambrai
